cliente_id,idade,plano,ciclo,valor_mensal,regiao,canal_aquisicao,nps,data_assinatura,data_cancelamento,data_ultimo_acesso,data_extracao,dias_ativos_ult_mes,horas_assistidas_total,motivo_cancelamento,churn
2207,38,Padrao,Mensal,3490,Sudeste,Google,6,2021-08-31,,2024-01-28,2024-01-31,13,667.4,,0
2416,48,Padrão,Mensal,34.9,Sudeste,Indicacao,5,2023-03-12,,2024-01-22,2024-01-31,13,286,,0
3993,22,padrão,Mensal,34.9,Sul,instagram,8,2021-08-04,,2024-01-13,2024-01-31,23,900,,0
2155,41,premium,Mensal,55.9,Centro-Oeste,IG,6,2023-07-31,,2024-01-12,2024-01-31,13,115.6,,0
5993,35,Padrão,Mensal,34.9,Nordeste,orgânico,10,2023-02-20,,2024-01-17,2024-01-31,19,412.6,,0
4652,24,Padrão,Anual,34.9,Norte,Instagram,7,2022-09-23,2023-07-25,2023-06-27,2024-01-31,2,67,Pouco conteúdo novo,1
3496,53,básico,Mensal,19.9,Nordeste,orgânico,7,2023-04-09,,2024-01-17,2024-01-31,11,196.6,,0
4720,26,padrão,Mensal,34.9,Sudeste,Indicacao,7,2023-08-08,,2024-01-18,2024-01-31,13,135.9,,0
2749,35,Padrao,Mensal,34.9,Centro-Oeste,Instagram,9,2022-07-09,,2024-01-12,2024-01-31,11,447.2,,0
3175,46,Premium,Mensal,55.9,Sudeste,Instagram,7,2023-05-03,2024-01-09,2023-12-28,2024-01-31,0,0,Falta de tempo,1
5562,40,premium,Mensal,55.9,Sudeste,Instagram,8,2022-04-10,,2024-01-11,2024-01-31,17,753.4,,0
2361,18,Padrão,Mensal,34.9,Norte,orgânico,1,2023-04-06,2023-09-23,2023-09-03,2024-01-31,3,70.7,preco,1
3294,41,BASICO,Mensal,19.9,Sudeste,Instagram,9,2022-09-02,,2024-01-27,2024-01-31,17,648.2,,0
5850,34,básico,Anual,19.9,Sul,Organico,7,2023-05-05,2023-12-07,2023-12-03,2024-01-31,2,26.8,Concorrente,1
2740,35,Basico,Anual,19.9,Nordeste,Instagram,0,2023-08-28,2024-01-15,2023-12-07,2024-01-31,3,29.6,Falta de tempo,1
2541,29,BASICO,Mensal,19.9,Nordeste,Google,8,2023-07-10,,2024-01-27,2024-01-31,8,113.8,,0
5442,42,padrão,Anual,34.9,Sudeste,orgânico,8,2023-11-05,2024-01-25,2024-01-16,2024-01-31,2,9.3,Falta de tempo,1
5781,42,Basico,Anual,19.9,Nordeste,IG,2,2022-02-05,2023-04-06,2023-03-14,2024-01-31,3,121.8,Concorrente,1
4805,31,premium,Mensal,55.9,Sudeste,Organico,1,2023-06-13,2023-10-31,2023-10-14,2024-01-31,5,54.7,Preço,1
4471,44,Premium,Mensal,55.9,Norte,Indicacao,2,2023-07-01,2024-01-11,2023-12-18,2024-01-31,3,40.4,PREÇO,1
5259,41,padrão,Mensal,34.9,?,google,5,2023-05-03,,2024-01-28,2024-01-31,8,139.9,,0
3331,21,Basico,Anual,19.9,Nordeste,IG,10,2023-06-28,,2024-01-30,2024-01-31,13,217.2,,0
2794,40,premium,Anual,55.9,Sudeste,Organico,8,2023-03-01,,2024-01-03,2024-01-31,12,264.1,,0
4846,20,básico,Anual,19.9,Sudeste,google,5,2021-11-18,2023-04-19,2023-03-17,2024-01-31,1,56.6,Pouco conteúdo novo,1
5527,42,Padrão,Mensal,34.9,Sudeste,instagram,10,2022-09-22,,2024-01-31,2024-01-31,10,231.5,,0
4279,53,BASICO,Mensal,19.9,Nordeste,Organico,7,2019-02-14,,2024-01-28,2024-01-31,15,900,,0
3962,44,Padrão,Anual,34.9,Sul,indicação,4,2022-08-03,,2024-01-27,2024-01-31,16,611.2,,0
1922,30,Basico,Mensal,19.9,Sul,Google,9,2023-06-27,,2024-01-21,2024-01-31,11,144.4,,0
4993,50,premium,Mensal,55.9,Nordeste,indicação,9,2021-07-03,,2024-01-09,2024-01-31,16,749.4,,0
1111,30,padrão,Mensal,34.9,Sudeste,Instagram,3,2023-06-13,2023-11-23,2023-11-12,2024-01-31,2,20.3,Preço,1
5298,35,Padrao,Mensal,34.9,Sudeste,google,6,2023-03-25,,2024-01-22,2024-01-31,13,251.7,,0
1009,37,BASICO,Mensal,19.9,Centro-Oeste,Instagram,10,2023-07-09,,2024-01-18,2024-01-31,12,172.8,,0
4291,47,Padrão,Mensal,34.9,Sul,instagram,3,2022-03-22,,,2024-01-31,13,604.3,,0
1209,25,básico,Mensal,1990,Sudeste,Google,4,2023-11-13,2024-01-17,2023-12-16,2024-01-31,2,8.3,Pouco conteúdo novo,1
5432,37,Padrão,Mensal,34.9,Sul,IG,7,2022-05-25,,2024-01-09,2024-01-31,18,557.6,,0
2971,47,Premium,Mensal,55.9,Norte,instagram,5,2023-03-13,2023-12-05,2023-11-29,2024-01-31,0,0,PREÇO,1
3807,47,Basico,Anual,19.9,Nordeste,Instagram,5,2023-07-05,,2024-01-17,2024-01-31,19,308,,0
4836,44,padrão,Anual,34.9,Sudeste,Indicacao,8,2021-07-04,,2024-01-04,2024-01-31,22,900,,0
1884,31,Basico,Mensal,19.9,Nordeste,indicação,2,2023-10-18,2024-01-19,2023-12-11,2024-01-31,3,21.5,Problema técnico,1
2176,18,BASICO,Anual,19.9,Centro-Oeste,IG,9,2023-03-13,,2024-01-13,2024-01-31,9,189.1,,0
4711,40,Padrão,Mensal,34.9,Sudeste,Organico,5,2022-09-21,,2024-01-16,2024-01-31,16,533.4,,0
1685,28,BASICO,Mensal,1990,Sul,Instagram,10,2022-03-26,,2024-01-13,2024-01-31,19,863.4,,0
2275,21,premium,Mensal,55.9,Centro-Oeste,IG,3,2023-08-29,2023-11-29,2023-11-01,2024-01-31,0,0,PREÇO,1
2230,34,Padrao,Anual,34.9,Norte,instagram,4,2023-06-11,2023-11-04,2023-09-30,2024-01-31,2,31.4,PREÇO,1
2224,42,BASICO,Anual,19.9,Sudeste,indicação,4,2023-08-23,2023-11-27,2023-11-19,2024-01-31,5,51.7,Falta de tempo,1
4567,34,básico,Anual,19.9,Sudeste,orgânico,6,2023-07-21,,2024-01-12,2024-01-31,12,134.2,,0
3277,41,básico,Mensal,19.9,Norte,Organico,1,2022-05-14,,2024-01-04,2024-01-31,16,466.5,,0
3773,44,básico,Mensal,19.9,Sudeste,instagram,7,2023-10-08,,2024-01-27,2024-01-31,11,56,,0
3337,55,premium,Anual,55.9,Sudeste,orgânico,4,2023-06-29,2024-01-18,2023-12-13,2024-01-31,2,23.5,Preço,1
4390,32,Padrao,Anual,34.9,Sudeste,IG,8,2022-12-26,,2024-01-18,2024-01-31,21,637.6,,0
1439,28,BASICO,Mensal,19.9,Sudeste,IG,7,2021-10-16,,2024-01-14,2024-01-31,12,522.8,,0
5984,36,Premium,Anual,55.9,Sudeste,google,2,2022-06-07,2023-11-12,2023-10-18,2024-01-31,3,108.5,Preço,1
5150,30,padrão,Anual,34.9,Sudeste,Organico,10,2020-09-13,,2024-01-06,2024-01-31,14,853.8,,0
3640,26,BASICO,Mensal,19.9,Sudeste,instagram,5,2023-03-21,2023-08-26,2023-08-01,2024-01-31,3,47.2,preco,1
5522,18,Padrao,Mensal,34.9,Nordeste,Instagram,6,2022-11-14,,2024-01-23,2024-01-31,7,165.1,,0
1033,31,padrão,Mensal,34.9,Sudeste,Instagram,2,2023-09-15,2023-12-31,2023-12-03,2024-01-31,4,36.2,problema tecnico,1
1451,54,Padrão,Mensal,34.9,Sudeste,IG,8,2020-08-10,,2024-01-20,2024-01-31,10,840.9,,0
5437,44,Padrao,Mensal,34.9,Sudeste,IG,7,2020-06-14,,2024-01-10,2024-01-31,18,900,,0
3610,36,Basico,Mensal,1990,Nordeste,Organico,4,2023-08-12,2023-12-26,2023-11-21,2024-01-31,3,31.5,Pouco conteúdo novo,1
4064,36,premium,Anual,5590,Sul,instagram,9,2022-07-06,,2024-01-14,2024-01-31,10,339.1,,0
1821,43,Padrao,Mensal,34.9,Nordeste,IG,9,2023-05-12,,2024-01-02,2024-01-31,17,251.8,,0
1023,20,básico,Mensal,19.9,Sudeste,Instagram,2,2023-06-29,2023-11-24,2023-10-25,2024-01-31,3,36.9,Pouco conteúdo novo,1
4529,41,básico,Mensal,19.9,Nordeste,IG,5,2022-11-06,,2024-01-08,2024-01-31,10,270.7,,0
2959,32,padrão,Mensal,34.9,Nordeste,Instagram,7,2023-03-15,,2024-01-24,2024-01-31,19,276.8,,0
5153,22,premium,Mensal,55.9,Nordeste,IG,5,2023-10-14,,2024-01-11,2024-01-31,12,83.8,,0
4500,37,Basico,Mensal,19.9,Sudeste,Instagram,2,2023-10-23,2023-12-24,2023-12-03,2024-01-31,5,23.8,Pouco conteúdo novo,1
5857,20,Basico,Anual,19.9,Sudeste,Organico,5,2022-12-12,,2024-01-25,2024-01-31,18,488.9,,0
5295,23,básico,Mensal,19.9,Nordeste,orgânico,8,2023-03-30,,2024-01-12,2024-01-31,16,346.2,,0
4975,35,Basico,Mensal,19.9,Nordeste,instagram,6,2023-11-25,2024-01-09,2023-12-22,2024-01-31,1,3.1,Preço,1
1424,30,premium,Mensal,55.9,Sul,Indicacao,7,2023-03-20,,2024-01-19,2024-01-31,16,276,,0
1367,29,BASICO,Mensal,19.9,Centro-Oeste,google,4,2023-06-14,,2024-01-09,2024-01-31,14,173.4,,0
2119,53,Padrão,Mensal,34.9,Sudeste,Google,5,2023-08-03,2023-11-18,2023-10-31,2024-01-31,3,25.7,Falta de tempo,1
1057,36,padrão,Mensal,34.9,Norte,Instagram,6,2022-08-28,,2024-01-22,2024-01-31,10,376.9,,0
5753,52,Basico,Mensal,19.9,Norte,orgânico,10,2022-05-26,,2024-01-06,2024-01-31,11,512.7,,0
4420,31,Basico,Mensal,19.9,Sul,google,7,2022-08-18,,2024-01-13,2024-01-31,12,391.7,,0
5438,26,Basico,Anual,19.9,Sul,Organico,7,2022-08-24,,2024-01-10,2024-01-31,22,770.4,,0
5209,54,Padrão,Anual,34.9,Sudeste,Instagram,7,2023-10-17,,2024-01-02,2024-01-31,18,96,,0
1350,37,Padrao,Mensal,34.9,Sudeste,google,9,2023-12-31,,2024-01-23,2024-01-31,10,18,,0
5368,22,BASICO,Mensal,19.9,Sudeste,Organico,7,2022-03-24,,2024-01-24,2024-01-31,16,720.6,,0
1285,31,padrão,Anual,34.9,Sudeste,orgânico,6,2022-09-14,,2024-01-19,2024-01-31,20,644.2,,0
5218,50,premium,Anual,55.9,Sul,instagram,9,2022-07-28,,2024-01-23,2024-01-31,9,249.5,,0
4923,38,básico,Anual,19.9,Sudeste,Instagram,8,2022-06-15,,2024-01-22,2024-01-31,11,365.7,,0
5559,56,Premium,Mensal,55.9,Norte,orgânico,3,2023-03-23,2023-10-24,2023-10-14,2024-01-31,3,43.7,Pouco conteúdo novo,1
5284,36,premium,Mensal,5590,Centro-Oeste,instagram,8,2022-10-13,,2024-01-16,2024-01-31,11,392.4,,0
5311,22,Basico,Mensal,19.9,Sudeste,Organico,0,2023-10-01,2024-01-21,2024-01-08,2024-01-31,1,8,Concorrente,1
2365,38,premium,Anual,55.9,Nordeste,instagram,6,2020-11-24,,2024-01-03,2024-01-31,18,900,,0
2820,18,Padrao,Mensal,34.9,Centro-Oeste,Google,1,2023-07-08,2023-12-12,2023-12-05,2024-01-31,5,70.1,Falta de tempo,1
2171,42,Padrão,Mensal,3490,?,orgânico,10,2021-04-16,,2024-01-06,2024-01-31,10,505.2,,0
4937,35,BASICO,Mensal,19.9,Sul,Organico,6,2022-05-20,,2024-01-26,2024-01-31,9,392.5,,0
5862,24,Basico,Mensal,19.9,Sudeste,Indicacao,8,2022-08-06,,2024-01-14,2024-01-31,16,669,,0
2100,42,Basico,Anual,19.9,Sul,indicação,2,2022-08-16,2023-05-17,2023-05-03,2024-01-31,4,99.8,Pouco conteúdo novo,1
2021,28,Basico,Mensal,19.9,Sudeste,orgânico,6,2022-10-11,,2024-01-29,2024-01-31,17,563.2,,0
3698,38,Premium,Mensal,55.9,Sudeste,indicação,5,2022-06-27,,2024-01-21,2024-01-31,14,572.8,,0
2543,31,BASICO,Mensal,19.9,Nordeste,Organico,5,2023-11-29,2024-01-11,2023-12-20,2024-01-31,4,11.3,Pouco conteúdo novo,1
5226,33,básico,Mensal,19.9,Nordeste,google,8,2021-07-14,,2024-01-09,2024-01-31,11,601.5,,0
2094,31,básico,Mensal,19.9,Sudeste,Indicacao,10,2023-03-30,,2024-01-20,2024-01-31,11,253.1,,0
4123,41,Premium,Anual,55.9,Sudeste,IG,2,2023-09-27,2024-01-05,2023-12-13,2024-01-31,2,16.4,PREÇO,1
1808,55,Premium,Mensal,55.9,Sudeste,orgânico,8,2022-10-13,,2024-01-02,2024-01-31,11,332.4,,0
4898,27,premium,Mensal,55.9,Sul,orgânico,10,2023-01-18,,2024-01-27,2024-01-31,18,459.6,,0
5211,27,Basico,Mensal,19.9,Sul,Organico,5,2023-01-11,,2024-01-28,2024-01-31,12,344,,0
2698,47,BASICO,Anual,19.9,Sudeste,Google,7,2023-08-04,,2024-01-31,2024-01-31,14,193.3,,0
5076,45,Padrao,Mensal,34.9,Sudeste,Organico,8,2019-02-11,,2024-01-05,2024-01-31,14,900,,0
2989,29,Padrao,Mensal,34.9,Norte,Indicacao,6,2022-06-24,,2024-01-09,2024-01-31,14,427.4,,0
2374,38,BASICO,Mensal,1990,Norte,indicação,7,2022-12-07,,2024-01-04,2024-01-31,18,592.9,,0
4791,39,BASICO,Mensal,19.9,Sul,Indicacao,4,2023-06-10,2024-01-10,2023-12-20,2024-01-31,5,62.4,Falta de tempo,1
5661,34,Basico,Mensal,1990,Norte,instagram,8,2022-06-01,,2024-01-11,2024-01-31,15,703.4,,0
5155,31,Padrao,Mensal,34.9,Sudeste,Organico,8,2023-10-24,,2024-01-20,2024-01-31,13,79.8,,0
3818,43,Padrao,Mensal,3490,Sudeste,Organico,6,2022-08-23,,2024-01-14,2024-01-31,20,554.5,,0
4085,28,Basico,Mensal,19.9,Sudeste,Instagram,10,2023-03-31,,2024-01-15,2024-01-31,13,289.8,,0
4845,28,Padrao,Anual,34.9,Nordeste,indicação,9,2023-01-22,,2024-01-04,2024-01-31,16,298.4,,0
2037,38,BASICO,Mensal,1990,Nordeste,Indicacao,9,2022-06-02,,2024-01-23,2024-01-31,16,564.7,,0
5207,32,básico,Anual,19.9,Nordeste,orgânico,6,2023-08-28,,2024-01-12,2024-01-31,15,164.1,,0
5170,45,Basico,Anual,19.9,Nordeste,instagram,3,2023-01-24,2023-09-29,2023-09-06,2024-01-31,4,102.3,Pouco conteúdo novo,1
4526,43,padrão,Mensal,34.9,Norte,IG,8,2023-04-27,,2024-01-22,2024-01-31,17,267.9,,0
1279,25,básico,Mensal,19.9,Sudeste,Indicacao,5,2023-09-20,,2024-01-13,2024-01-31,11,81.6,,0
2074,35,Basico,Mensal,19.9,Sudeste,google,7,2022-10-01,,2024-01-29,2024-01-31,17,624.8,,0
5638,43,premium,Mensal,55.9,Sudeste,Indicacao,10,2023-07-25,,2024-01-20,2024-01-31,11,131.2,,0
5994,35,premium,Mensal,55.9,Sudeste,indicação,10,2021-08-08,,2024-01-18,2024-01-31,11,600.4,,0
1841,35,BASICO,Mensal,19.9,Nordeste,orgânico,5,2023-03-10,2023-09-07,2023-08-10,2024-01-31,3,57,Falta de tempo,1
2352,28,BASICO,Mensal,19.9,Nordeste,google,8,2021-12-20,,2024-01-08,2024-01-31,13,587.7,,0
5038,31,Basico,Mensal,19.9,Sudeste,Instagram,5,2023-02-19,,2024-01-23,2024-01-31,11,209.6,,0
1550,52,Basico,Anual,19.9,Nordeste,indicação,7,2022-11-10,,2024-01-26,2024-01-31,16,352.6,,0
4718,35,Basico,Anual,1990,Sul,IG,8,2022-12-04,,2024-01-21,2024-01-31,20,486.7,,0
4558,31,Padrão,Mensal,34.9,Nordeste,instagram,2,2023-05-28,2023-11-16,2023-11-05,2024-01-31,2,24.6,Pouco conteúdo novo,1
1261,36,Padrao,Mensal,34.9,Sul,google,6,2023-03-19,,2024-01-23,2024-01-31,10,205.7,,0
3643,18,Padrão,Mensal,34.9,Sudeste,orgânico,8,2022-03-30,,2024-01-25,2024-01-31,14,646.8,,0
5935,46,premium,Mensal,55.9,Sudeste,Organico,7,2023-09-25,,2024-01-22,2024-01-31,11,103.8,,0
1534,30,Padrao,Anual,3490,Centro-Oeste,Organico,10,2023-09-21,,2024-01-06,2024-01-31,13,78,,0
1928,25,premium,Mensal,55.9,Sudeste,Instagram,9,2022-10-05,,2024-01-14,2024-01-31,9,228.5,,0
4315,27,Padrao,Mensal,34.9,Sudeste,indicação,10,2023-08-30,,2024-01-25,2024-01-31,11,96.1,,0
1611,24,Padrao,Mensal,3490,Nordeste,orgânico,6,2023-09-12,,2024-01-02,2024-01-31,15,102.7,,0
3082,47,Padrão,Mensal,34.9,Sudeste,IG,4,2023-11-02,,2024-01-29,2024-01-31,21,124.7,,0
3937,38,Premium,Mensal,55.9,Centro-Oeste,Instagram,5,2023-02-24,,2024-01-23,2024-01-31,18,462.9,,0
1836,46,Basico,Mensal,1990,Sul,Organico,5,2023-10-28,2023-12-22,2023-11-23,2024-01-31,3,19.9,Falta de tempo,1
3278,25,padrão,Mensal,34.9,Centro-Oeste,orgânico,0,2023-07-05,2023-11-14,2023-10-09,2024-01-31,4,58.8,Pouco conteúdo novo,1
3943,35,BASICO,Anual,19.9,Sudeste,orgânico,2,2021-03-26,2022-11-19,2022-10-19,2024-01-31,4,282.6,Falta de tempo,1
3911,44,Basico,Mensal,19.9,Sudeste,orgânico,4,2022-11-18,2023-08-30,2023-08-10,2024-01-31,0,0,Falta de tempo,1
5512,36,premium,Mensal,55.9,Sudeste,indicação,7,2023-12-16,,2024-01-13,2024-01-31,11,16,,0
5849,300,Premium,Mensal,55.9,Sul,Indicacao,6,2023-10-18,2024-01-23,2024-01-12,2024-01-31,2,11.2,Preço,1
1241,37,Padrão,Mensal,3490,Sul,instagram,9,2023-09-22,,2024-01-15,2024-01-31,14,93.7,,0
2631,26,Padrao,Mensal,34.9,Sudeste,IG,7,2023-01-06,,2024-01-06,2024-01-31,24,480.5,,0
2081,41,Padrão,Mensal,34.9,Norte,indicação,0,2023-06-01,2023-11-19,2023-11-05,2024-01-31,3,50.2,Falta de tempo,1
5791,47,Padrão,Mensal,34.9,Centro-Oeste,Organico,9,2022-10-31,,2024-01-26,2024-01-31,8,220.3,,0
3216,26,Premium,Mensal,55.9,Sudeste,orgânico,9,2022-06-18,,2024-01-15,2024-01-31,18,776.8,,0
2370,54,Padrao,Mensal,3490,Norte,indicação,5,2023-09-14,,,2024-01-31,19,112.4,,0
1115,38,BASICO,Anual,19.9,Sudeste,Instagram,5,2023-01-13,2023-10-04,2023-08-26,2024-01-31,3,55.3,problema tecnico,1
3684,28,padrão,Mensal,34.9,Nordeste,Google,8,2022-11-14,,2024-01-20,2024-01-31,12,317.5,,0
1346,51,padrão,Mensal,34.9,Sudeste,Instagram,5,2023-05-13,,2024-01-10,2024-01-31,9,155.1,,0
5431,51,Basico,Mensal,1990,Sul,IG,3,2023-03-04,2023-11-12,2023-11-04,2024-01-31,6,146.4,preco,1
5082,33,Premium,Anual,55.9,Norte,orgânico,7,2023-06-12,,,2024-01-31,16,214,,0
4163,26,Basico,Anual,19.9,?,Google,5,2023-07-09,2023-11-27,2023-10-26,2024-01-31,1,9.8,Outro,1
4363,53,Basico,Mensal,19.9,Sul,orgânico,7,2022-03-06,,2024-01-08,2024-01-31,16,752.2,,0
1017,33,Padrao,Mensal,34.9,Sul,Organico,3,2023-08-25,2023-11-21,2023-10-24,2024-01-31,4,38.6,preco,1
3165,38,Padrão,Mensal,34.9,Sul,Instagram,8,2022-04-30,,2024-01-19,2024-01-31,14,456.4,,0
3664,47,Basico,Anual,19.9,Sul,Indicacao,4,2023-05-04,2023-11-13,2023-10-12,2024-01-31,4,79.3,Pouco conteúdo novo,1
3686,42,Padrão,Mensal,34.9,Sudeste,Indicacao,1,2023-06-29,2023-11-18,2023-11-01,2024-01-31,2,24.9,Falta de tempo,1
3875,40,Padrao,Mensal,34.9,Centro-Oeste,indicação,7,2023-03-10,,2024-01-05,2024-01-31,11,262.6,,0
5068,50,padrão,Mensal,34.9,Sudeste,google,9,2022-12-10,,2024-01-25,2024-01-31,11,325.6,,0
4620,19,Basico,Mensal,19.9,Sul,instagram,6,2023-08-26,2024-01-05,2023-12-28,2024-01-31,2,23.3,Concorrente,1
2865,47,Basico,Mensal,19.9,Sudeste,Google,5,2021-10-04,,2024-01-26,2024-01-31,20,798.1,,0
3991,33,básico,Mensal,19.9,Norte,Indicacao,7,2021-10-21,2023-08-02,2023-07-16,2024-01-31,3,168.5,Outro,1
1024,47,padrão,Mensal,34.9,Sudeste,Google,5,2022-04-07,,2024-01-04,2024-01-31,10,426,,0
2767,42,Basico,Mensal,19.9,Sul,Indicacao,10,2023-11-22,,2024-01-22,2024-01-31,15,43.5,,0
2157,18,Basico,Mensal,19.9,Sudeste,orgânico,9,2021-10-12,,2024-01-23,2024-01-31,12,688.8,,0
3073,41,Padrao,Mensal,34.9,Sudeste,orgânico,2,2023-07-09,2023-11-03,2023-10-23,2024-01-31,4,56.4,PREÇO,1
4007,30,básico,Anual,19.9,Sudeste,Indicacao,7,2023-07-20,2023-12-11,2023-11-25,2024-01-31,7,87.7,PREÇO,1
